Category, Price of item in category, Quantity of item sold
Technology,2309.65,7
Furniture,3709.395,9
Technology,5175.171,9
Technology,2892.51,5
Technology,2832.96,8
Technology,2862.675,5
Furniture,1822.08,4
Furniture,5244.84,6
Office Supplies,5083.96,5
Furniture,4297.644,13
Office Supplies,4164.05,5
Furniture,4626.15,5
Technology,2616.96,4
Furniture,2221.8,7
Office Supplies,3701.52,12
Office Supplies,1869.588,4
Technology,2249.91,9
Office Supplies,7958.58,14
Technology,2565.594,9
Office Supplies,3409.74,6
Furniture,1977.72,4
Technology,2735.952,6
Furniture,2754,6
Office Supplies,5273.7,10
Technology,1713.84,4
Furniture,2106.496,8
Furniture,1715.16,2
Office Supplies,3069.738,6
Technology,4158.912,8
Furniture,1878.72,4
Technology,1696.64,5
Technology,2402.865,9
Furniture,2453.43,5
Office Supplies,2526.93,5
Furniture,3610.848,12
Technology,3817.26,6
Technology,2799.96,4
Technology,7999.98,4
Technology,4141.02,13
Technology,2875.095,5
Technology,3200.5962,6
Technology,4518.78,7
Furniture,5667.87,13
Technology,5785.02,9
Office Supplies,3018.624,7
Office Supplies,9449.95,5
Furniture,2092.5,5
Furniture,2761.2,6
Technology,2174.13,7
Furniture,3473.14,11
Office Supplies,3050.376,3
Technology,2108.64,8
Technology,2399.96,5
Furniture,2197.5,5
Technology,2582.16,4
Technology,1526.52,4
Technology,3149.93,7
Furniture,1745.34,2
Office Supplies,4191.507,9
Technology,4367.896,13
Furniture,3063.27,7
Technology,4643.8,4
Technology,4473,7
Technology,1502.01,9
Furniture,5049,11
Office Supplies,2104.55,7
Furniture,2188.05,5
Furniture,1920.36,4
Technology,1704,4
Furniture,1858.68,4
Furniture,3298.26,7
Office Supplies,2443.48,13
Furniture,3808.8,8
Furniture,3427.1496,7
Technology,3441.69,6
Technology,2863.35,5
Office Supplies,6354.95,5
Technology,1487.4,10
Technology,3200.04,9
Furniture,2301,5
Furniture,5729.346,14
Technology,5301.24,14
Office Supplies,5443.96,4
Furniture,4416.174,9
Technology,3219.9,5
Office Supplies,2487.8088,6
Office Supplies,2266.44,4
Technology,3068.361,9
