Category, Price of item in category, Quantity of item sold
Office Supplies,855.84,4
Office Supplies,1414.77,9
Office Supplies,2296.38,4
Office Supplies,2658.63,11
Office Supplies,1592.66,10
Office Supplies,881.35,7
Technology,2466.53,5
Office Supplies,2415.8,7
Office Supplies,1905.43,11
Office Supplies,1801.78,5
Office Supplies,2627.47,6
Office Supplies,709.24,7
Office Supplies,654.04,8
Office Supplies,787.27,4
Office Supplies,1514.31,5
Office Supplies,1719.31,3
Office Supplies,2041.63,5
Office Supplies,1543.84,11
Office Supplies,1043.79,3
Office Supplies,2113.57,9
Office Supplies,2326.61,7
Office Supplies,987.74,6
Office Supplies,1306.92,8
Office Supplies,2659.05,9
Office Supplies,1271.33,6
Office Supplies,1020.39,7
Office Supplies,671.47,4
Office Supplies,2346.88,10
Office Supplies,1713.34,8
Office Supplies,2157.09,5
Office Supplies,1114.79,1
Office Supplies,1483.65,1
Office Supplies,2806.04,3
Furniture,821.38,2
Office Supplies,2513.6,5
Office Supplies,2579.1,11
Office Supplies,651.47,4
Office Supplies,1875.24,11
Office Supplies,2988.87,4
Office Supplies,626.1,9
Furniture,1740.15,4
Furniture,1854.29,2
Office Supplies,541.28,3
Office Supplies,2525.43,3
Office Supplies,2320.23,1
Office Supplies,1416.64,3
Office Supplies,1615.25,10
Office Supplies,1455.33,2
Office Supplies,541.52,9
Office Supplies,2694.29,3
Office Supplies,2398.39,11
Office Supplies,923.65,7
Office Supplies,2958.52,11
Office Supplies,1056.7,6
Office Supplies,1096.96,7
Office Supplies,2569.37,9
Office Supplies,2731.23,1
Office Supplies,1257.66,9
Office Supplies,1627.96,7
Office Supplies,1499.02,9
Office Supplies,1132.27,6
Office Supplies,2538.5,10
Furniture,1133.39,1
Office Supplies,553.82,10
Office Supplies,1754.64,7
Technology,1003.6,2
Office Supplies,2953.63,5
Office Supplies,2903.55,11
Office Supplies,615.83,11
Office Supplies,2967.18,3
Office Supplies,693.18,10
Office Supplies,754.52,2
Office Supplies,2670.49,6
Office Supplies,2494.47,11
Office Supplies,2774.18,8
Office Supplies,1740.55,7
Office Supplies,1076.88,8
Office Supplies,2524.8,11
Office Supplies,2901.28,2
Office Supplies,1238.28,1
Office Supplies,2410.13,4
Office Supplies,1769.49,2
Office Supplies,2654.47,1
Office Supplies,911.19,9
Office Supplies,1379.19,8
Office Supplies,1522.95,2
Office Supplies,2985.85,8
Technology,1240.36,7
Office Supplies,2483.85,3
Office Supplies,2612.08,6
Technology,1720.97,10
Office Supplies,1143.98,7
Office Supplies,942.96,7
Office Supplies,2936.01,8
Office Supplies,1755.63,4
Office Supplies,1022.78,11
Office Supplies,1136.15,5
Office Supplies,2915.82,4
Office Supplies,1995.02,9
Furniture,1693.93,4
Office Supplies,2726.82,8
Office Supplies,2182.39,6
Office Supplies,2703.7,11
Office Supplies,691.97,6
Office Supplies,2577,2
Furniture,979.18,1
Office Supplies,1322.11,7
Office Supplies,1822.31,6
Office Supplies,2021.3,2
Office Supplies,1546.51,9
Office Supplies,1458.07,9
Office Supplies,1149.85,1
Office Supplies,1541.03,8
Office Supplies,684.06,11
Office Supplies,1680.3,7
Office Supplies,2793.67,11
Office Supplies,867.94,4
Office Supplies,2258.92,3
Office Supplies,1924.98,1
Office Supplies,977.04,11
Office Supplies,2051.5,9
Office Supplies,2638.22,6
Office Supplies,1276.07,1
Furniture,751.26,8
Office Supplies,1043.73,3
Office Supplies,2877.28,5
Office Supplies,1595.59,2
Office Supplies,1172.07,4
Office Supplies,2391.21,6
Office Supplies,1486.71,6
Office Supplies,1960.72,6
Office Supplies,1457.18,8
Office Supplies,1675.13,11
Office Supplies,735.76,1
Office Supplies,1611.64,2
Office Supplies,2795.39,10
Office Supplies,1407.12,11
Office Supplies,2722.32,1
Office Supplies,1625.57,7
Office Supplies,1008.72,2
Office Supplies,671.25,10
Office Supplies,1355.37,7
Office Supplies,2811.01,8
Office Supplies,692.03,5
Office Supplies,1900.62,1
Office Supplies,2950.18,11
Office Supplies,1859.15,8
Office Supplies,2267.05,5
Office Supplies,2290.61,2
Office Supplies,1332.8,4
Office Supplies,2098.61,6
Office Supplies,2091.73,6
Office Supplies,2480.64,11
Office Supplies,686.57,4
